,VIV_SEL,P1_1,P1_2,P1_3,P1_4,P1_5_1,P1_5_2,P2_1,P2_2,P2_3,ENT
453,1,3,1,1,1,1,1,1,1,1,1
454,2,3,1,1,1,1,1,6,1,1,1
455,3,3,1,1,1,1,1,7,1,1,1
456,4,3,1,1,1,1,1,2,1,1,1
457,5,3,1,1,1,1,2,9,1,1,1
458,3,3,1,1,1,1,1,5,1,1,1
459,4,3,1,1,1,1,1,7,1,1,1
460,5,3,1,1,1,1,1,4,1,1,1
461,1,3,1,1,1,1,1,3,1,1,1
462,2,3,1,1,1,1,1,5,1,1,1
463,3,3,1,1,1,1,1,2,1,1,1
464,4,3,1,1,1,1,1,4,1,1,1
465,5,3,1,1,1,1,1,3,1,1,1
466,1,2,1,1,1,1,1,5,1,1,1
467,2,2,2,1,1,1,1,5,1,1,1
468,3,3,1,1,1,1,1,6,1,1,1
469,4,2,2,1,1,1,2,4,1,1,1
470,5,2,1,1,1,1,1,6,2,2,1
471,1,2,1,1,1,1,1,7,2,2,1
472,2,2,1,1,1,1,1,7,2,3,1
473,3,3,1,1,1,1,1,5,1,1,1
474,4,2,1,1,1,1,1,4,1,1,1
475,5,3,1,1,1,2,1,3,1,1,1
476,1,3,1,1,1,1,1,3,1,1,1
477,2,3,1,1,1,1,1,4,1,1,1
478,3,3,1,1,1,1,1,4,1,1,1
479,4,3,1,1,1,1,1,4,1,1,1
480,5,3,1,1,1,1,1,4,1,1,1
481,1,3,1,1,1,1,1,5,1,1,1
482,2,3,1,1,1,1,1,6,1,1,1
483,3,3,1,1,1,1,1,3,1,1,1
484,4,2,1,1,1,1,1,3,1,1,1
485,5,3,1,1,1,1,1,5,1,1,1
486,1,3,1,1,1,1,1,4,1,1,1
487,2,2,1,1,1,1,2,5,1,1,1
488,3,3,1,1,1,1,1,4,1,1,1
489,4,3,1,1,1,1,1,5,1,1,1
490,5,3,1,1,1,1,1,5,1,1,1
491,1,3,1,1,1,1,1,5,1,1,1
492,2,3,1,1,1,1,2,4,1,1,1
493,5,3,1,1,1,1,1,4,1,1,1
494,1,3,1,1,1,1,1,4,1,1,1
495,2,3,1,1,1,1,1,4,1,1,1
496,3,3,1,1,1,1,1,1,1,1,1
497,4,3,1,1,1,1,1,3,1,1,1
498,1,3,1,1,1,1,1,3,1,1,1
499,2,3,1,1,1,1,1,1,1,1,1
500,3,3,1,1,1,1,1,3,1,1,1
501,4,3,1,1,1,1,1,2,1,1,1
502,5,3,1,1,1,1,1,5,1,1,1
503,1,3,1,1,1,1,1,5,1,1,1
504,2,3,1,1,1,1,1,4,1,1,1
505,4,3,1,1,1,1,1,1,1,1,1
506,5,3,1,1,1,1,1,3,1,1,1
507,1,3,1,1,1,1,2,1,1,1,1
508,2,3,1,1,1,1,1,8,1,1,1
509,3,3,1,1,1,1,1,3,1,1,1
510,4,3,1,1,1,1,1,2,1,1,1
511,1,3,1,1,1,1,1,4,1,1,1
512,3,3,1,1,1,1,1,3,1,1,1
513,4,3,1,1,1,1,1,3,1,1,1
514,5,3,1,1,1,1,1,2,1,1,1
515,1,3,1,1,1,1,1,2,1,1,1
516,2,2,1,1,1,1,1,4,1,1,1
517,3,2,1,1,1,2,1,7,1,1,1
518,4,3,1,1,1,1,2,2,1,1,1
519,5,3,1,1,1,1,1,3,1,1,1
520,2,3,1,1,1,1,1,7,1,1,1
521,3,2,1,1,1,1,1,5,1,1,1
522,4,3,1,1,1,1,1,6,1,1,1
523,5,2,1,1,1,1,2,4,1,1,1
524,1,3,1,1,1,1,1,6,1,1,1
525,2,3,1,1,1,1,1,5,1,1,1
526,3,3,1,1,1,1,1,3,1,1,1
527,4,3,1,1,1,1,1,4,1,1,1
528,5,3,1,1,1,1,1,2,1,1,1
529,1,3,1,1,1,1,1,2,1,1,1
530,2,3,1,1,1,1,1,8,2,2,1
531,3,3,1,1,1,1,1,8,1,1,1
532,4,3,1,1,1,1,2,5,1,1,1
533,5,3,1,1,1,1,1,4,1,1,1
534,1,3,1,1,1,1,1,8,1,1,1
535,2,3,1,1,1,1,1,1,1,1,1
536,3,3,1,1,1,1,2,4,1,1,1
537,5,3,1,1,1,1,1,4,1,1,1
538,1,3,1,1,1,1,1,4,1,1,1
539,2,3,1,1,1,1,1,5,1,1,1
540,3,3,1,1,1,1,2,1,1,1,1
541,5,3,1,1,1,1,1,6,1,1,1
542,1,3,1,1,1,1,1,2,1,1,1
543,2,3,1,1,1,1,1,3,1,1,1
544,3,3,1,1,1,1,1,4,1,1,1
545,4,3,1,1,1,1,1,4,1,1,1
546,2,3,1,1,1,1,1,3,1,1,1
547,3,3,1,1,1,1,1,5,1,1,1
548,5,3,1,1,1,1,1,4,1,1,1
549,1,3,1,1,1,1,1,3,1,1,1
550,3,2,1,1,1,1,1,3,1,1,1
551,5,3,1,1,1,1,1,4,1,1,1
552,2,2,1,1,1,1,1,5,1,1,1
553,3,2,1,1,1,1,1,3,1,1,1
554,4,2,1,1,1,2,2,2,1,1,1
555,5,2,1,1,1,1,1,4,1,1,1
556,2,3,1,1,1,1,1,4,1,1,1
557,4,2,1,1,1,1,1,5,1,1,1
558,5,3,1,1,1,1,1,11,1,1,1
559,2,2,1,1,1,1,1,12,1,1,1
560,3,3,1,1,1,1,1,1,1,1,1
561,4,2,1,1,1,1,1,1,1,1,1
562,5,3,1,1,1,1,1,1,1,1,1
563,1,2,1,1,1,2,2,1,1,1,1
564,2,2,1,1,1,1,1,6,2,2,1
565,3,2,1,1,1,1,1,5,1,1,1
566,4,2,1,1,1,2,2,3,1,1,1
567,5,3,1,1,1,1,1,3,1,1,1
568,1,3,1,1,1,1,1,2,1,1,1
569,3,3,1,1,1,1,1,3,1,1,1
